Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-12-18,788.3,790.99,780.0,788.67,2519.24374939,1983165.36571,787.206623493
2016-12-17,781.32,790.88,780.36,788.52,2389.76188083,1878367.31148,786.006056314
2016-12-16,776.3,782.46,771.24,781.32,3475.77113231,2706428.28212,778.655492291
2016-12-15,777.03,779.08,771.0,775.89,3039.82232695,2360816.75255,776.629848271
2016-12-14,775.75,781.0,770.74,777.09,2333.38039481,1812395.33523,776.725192028
2016-12-13,777.0,793.27,765.1,775.35,4918.81400706,3828369.08114,778.311413208
2016-12-12,768.97,779.0,768.96,776.9,2805.19133166,2174538.22774,775.183568834
2016-12-11,772.28,772.28,764.01,768.97,1421.13041748,1090977.42464,767.682832778
2016-12-10,769.57,774.12,768.11,772.28,2200.70812765,1700155.01524,772.549069039
2016-12-09,766.84,773.99,766.29,769.57,2868.41656863,2209620.28785,770.327543081
2016-12-08,764.05,772.01,762.29,766.84,4892.93925488,3758555.43185,768.159021819
2016-12-07,758.97,769.61,751.78,763.99,4809.70777587,3665122.07755,762.025937613
2016-12-06,749.51,759.9,747.99,758.98,6763.73852485,5108421.85896,755.266017482
2016-12-05,762.0,762.09,743.0,750.24,5567.77285717,4175776.96781,749.990539293
2016-12-04,762.97,762.97,752.41,762.0,3215.68481818,2440424.84327,758.912947397
2016-12-03,770.91,770.99,752.41,760.75,2772.66124771,2114389.5578,762.584884664
2016-12-02,751.55,778.07,750.77,769.99,8098.57532493,6209209.26243,766.703897081
2016-12-01,742.06,754.98,740.18,751.54,6124.50185948,4590130.14859,749.469957542
2016-11-30,730.72,744.49,727.0,742.06,6249.618523,4608044.87977,737.332184806
2016-11-29,730.99,733.29,721.0,730.76,5406.90035323,3944721.68364,729.571737213
2016-11-28,727.32,732.44,724.1,729.54,4741.11519229,3457223.00356,729.200380784
2016-11-27,729.91,732.0,722.44,727.32,3447.86947559,2508288.04846,727.489270176
2016-11-26,736.96,737.56,722.3,729.91,2314.57662144,1685262.29658,728.108234122
2016-11-25,735.63,737.07,728.0,737.07,3356.08903132,2459029.19825,732.706783195
2016-11-24,740.18,741.15,729.0,735.63,4039.81535353,2967466.38606,734.554955207
2016-11-23,749.13,749.98,729.92,740.18,4462.77871527,3298351.60887,739.080250066
2016-11-22,736.92,750.0,730.27,749.22,5034.70408511,3735123.75232,741.875528169
2016-11-21,727.09,739.2,727.03,736.76,4017.57762466,2948982.13323,734.019951508
2016-11-20,750.09,753.82,714.0,727.09,5525.9596111,4046316.48223,732.237795242
2016-11-19,748.98,755.07,742.63,750.75,1965.43652251,1470296.8123,748.076468237
2016-11-18,736.0,752.95,731.31,748.98,4271.04146281,3180459.44114,744.656653144
2016-11-17,739.71,749.98,732.22,735.24,6681.43151549,4971520.49486,744.080139614
2016-11-16,711.07,742.87,708.44,739.71,11585.0454182,8443845.51549,728.857351067
2016-11-15,704.98,716.54,703.05,711.06,5668.93994884,4030616.40085,711.000017151
2016-11-14,700.38,705.89,697.14,703.82,7566.58050969,5302237.1858,700.744170898
2016-11-13,701.17,702.89,683.23,700.38,6023.54902216,4174451.23596,693.021874746
2016-11-12,716.39,716.39,701.0,702.28,2811.55106984,1988237.3207,707.16742158
2016-11-11,714.48,720.94,712.24,716.39,3328.33076179,2382869.95989,715.935443449
2016-11-10,721.5,722.0,707.0,714.47,4996.45256408,3570538.74383,714.614758778
2016-11-09,708.17,740.86,705.45,721.5,9726.2512339,7081641.53409,728.095682889
2016-11-08,702.86,712.92,701.02,709.31,5526.47459343,3905868.36335,706.755870731
2016-11-07,709.92,709.92,698.26,702.86,3020.87240328,2123754.47944,703.026873011
2016-11-06,703.33,714.36,697.92,709.93,2292.8635227,1620784.56078,706.882265226
2016-11-05,702.95,707.34,694.71,703.46,1918.31151101,1346262.96493,701.795801778
2016-11-04,684.84,707.67,681.0,702.7,5345.6792147,3725359.64834,696.891732317
2016-11-03,742.0,745.19,670.32,685.22,12102.2427314,8620853.87538,712.335231303
2016-11-02,726.6,742.0,717.32,742.0,4320.53171915,3133467.19096,725.250361447
2016-11-01,697.04,737.0,695.38,726.6,6570.01885443,4746887.11799,722.507381359
2016-10-31,697.1,706.97,683.6,697.01,4655.89251212,3246833.12744,697.359983933
2016-10-30,711.1,711.78,691.49,697.23,3752.5253719,2630802.80167,701.07528689
2016-10-29,685.91,717.99,684.89,711.13,4034.88400838,2839203.57103,703.664235487
2016-10-28,684.68,687.23,677.05,685.91,3574.07546814,2446577.6396,684.534409363
2016-10-27,674.63,685.89,665.59,684.71,4545.43620804,3090089.92937,679.822527022
2016-10-26,651.97,677.0,651.69,675.11,6716.23146341,4466380.41083,665.012877409
2016-10-25,649.03,657.58,643.0,651.97,6106.91617897,3982507.66672,652.130723594
2016-10-24,648.71,652.25,640.0,648.6,4679.0014143,3027622.02572,647.065849663
2016-10-23,654.52,656.0,647.51,648.74,2535.01019265,1651700.19238,651.555641537
2016-10-22,628.99,656.0,628.57,654.52,4351.61947818,2812594.61698,646.332849433
2016-10-21,628.05,632.36,627.5,629.0,3050.50932903,1919969.05372,629.392946105
2016-10-20,627.84,630.22,625.0,628.89,2040.00987473,1280448.67744,627.667882052
2016-10-19,635.95,638.04,624.13,627.98,4472.89998392,2824080.05221,631.37563155
2016-10-18,636.96,637.8,631.52,635.95,2731.17634977,1735476.55783,635.431892918
2016-10-17,638.97,639.99,632.1,636.91,3958.0365344,2516207.27874,635.721084651
2016-10-16,635.26,641.4,635.18,638.97,1289.53724609,823539.547904,638.631842857
2016-10-15,638.2,642.0,635.25,635.96,1421.85361066,908251.542914,638.779925095
2016-10-14,635.16,639.99,630.45,638.2,3154.82335026,2003219.14236,634.970304184
2016-10-13,634.5,636.0,630.0,634.02,2381.50067975,1510988.66892,634.469131908
2016-10-12,638.3,640.0,628.76,634.5,2658.52776787,1690227.11408,635.775610285
2016-10-11,616.37,639.0,614.56,639.0,8087.31933662,5100218.34771,630.64386794
2016-10-10,612.12,616.47,612.12,616.0,2295.52302846,1410892.88739,614.628069463
2016-10-09,614.34,614.98,610.0,613.06,1174.26113887,719904.656843,613.070323979
2016-10-08,614.88,616.99,612.5,614.34,888.66002111,546015.410318,614.425536592
2016-10-07,610.25,616.34,607.52,614.88,4033.82185438,2468265.95408,611.892652472
2016-10-06,608.01,610.5,607.09,610.25,2039.82035671,1242954.85864,609.345256581
2016-10-05,607.19,612.0,605.76,608.49,2410.92611361,1469331.47778,609.446913155
2016-10-04,612.84,612.84,604.99,607.19,2955.42383816,1795599.84679,607.560859329
2016-10-03,608.6,612.98,606.6,611.16,2245.89234656,1370270.01545,610.122750338
2016-10-02,612.98,613.0,605.0,608.6,1407.0592925,856141.651947,608.461673584
2016-10-01,608.23,614.28,608.23,612.98,1458.84374513,892033.663644,611.466215365
2016-09-30,605.59,608.39,603.15,608.23,2633.44489285,1593409.04068,605.066407505
2016-09-29,603.93,605.99,601.0,605.6,2718.01919323,1641055.43714,603.76889215
2016-09-28,605.07,605.3,601.41,603.95,2202.74962821,1329117.19821,603.390045417
2016-09-27,606.7,608.37,600.02,604.26,3055.81637038,1846161.50506,604.146742245
2016-09-26,598.95,607.27,596.1,606.47,4056.39371551,2444753.79398,602.691446008
2016-09-25,600.05,601.99,596.0,598.98,1086.83579854,650928.914686,598.921120891
2016-09-24,600.47,603.59,597.76,599.33,1140.23303781,685185.082901,600.916707533
2016-09-23,595.42,602.9,593.0,601.42,4007.88275861,2394294.73191,597.396400074
2016-09-22,595.46,596.42,592.5,595.41,2421.45482616,1440643.02538,594.949370855
2016-09-21,600.85,601.01,592.1,595.46,3671.19191264,2184063.91332,594.9195698
2016-09-20,608.73,608.88,600.94,600.94,2680.44760563,1625919.5676,606.585095782
2016-09-19,608.0,609.5,603.0,608.72,2476.59039745,1504205.84414,607.369650505
2016-09-18,602.93,609.06,601.97,608.0,1307.05511292,792167.993472,606.070842493
2016-09-17,607.04,607.59,601.1,604.1,1117.48707654,674972.584483,604.009297873
2016-09-16,606.65,608.99,603.5,605.69,2612.88007635,1585218.43126,606.693910526
2016-09-15,608.5,608.99,602.3,606.71,3085.66694768,1870525.59088,606.198148601
2016-09-14,607.45,610.69,605.98,608.5,2895.4604519,1761472.09602,608.356468785
2016-09-13,606.4,609.61,603.28,607.46,3471.52717479,2106487.10996,606.789750994
2016-09-12,604.08,609.15,602.0,608.04,3512.28237051,2126936.02037,605.570906892
2016-09-11,621.65,628.99,594.63,606.32,5336.9515717,3240280.3343,607.140666497
2016-09-10,622.01,625.0,618.67,621.65,1527.83753513,950617.059716,622.197738868
2016-09-09,625.67,627.49,612.93,622.01,3274.07565086,2031926.20966,620.610647504
2016-09-08,614.44,628.98,611.66,625.67,4354.95251639,2710494.37573,622.393554357
2016-09-07,608.93,615.92,604.7,615.16,4502.71072652,2749975.13897,610.737688026
2016-09-06,604.98,609.74,601.0,608.16,4038.33754573,2447636.43814,606.100012797
2016-09-05,605.72,607.31,592.46,603.48,3838.1755876,2307087.13721,601.08952406
2016-09-04,596.25,609.05,590.88,603.72,3951.19879148,2374456.18921,600.945767227
2016-09-03,572.0,598.64,569.01,595.01,4645.77734019,2709470.37659,583.211415052
2016-09-02,571.05,574.2,567.03,572.0,2996.65467508,1711339.74601,571.083401849
2016-09-01,570.75,572.86,566.86,571.05,2833.21048959,1614962.02298,570.011310107
2016-08-31,575.88,576.49,568.4,570.75,3917.82520705,2238453.98331,571.351161681
2016-08-30,570.74,576.5,568.55,575.91,4439.35420543,2549324.67688,574.255749577
2016-08-29,573.2,575.0,568.6,571.5,2333.00891707,1337424.14472,573.261480028
2016-08-28,567.51,573.34,566.8,573.2,1034.07669959,589949.314948,570.508275819
2016-08-27,577.92,579.09,564.81,568.31,2702.58036182,1540115.4576,569.868515051
2016-08-26,575.75,582.46,574.1,578.78,3300.29774328,1906954.63491,577.812907577
2016-08-25,577.65,578.75,571.16,575.71,4231.40701036,2432466.89872,574.860062566
2016-08-24,580.27,582.1,575.4,577.58,2991.01460758,1731521.17728,578.907629837
2016-08-23,582.78,584.99,576.0,580.23,4182.04589939,2429199.90807,580.863999705
2016-08-22,577.55,585.95,572.5,582.78,5086.06256577,2950211.77376,580.058097125
2016-08-21,577.7,583.99,576.01,577.55,1139.76224273,659564.955465,578.686440678
2016-08-20,572.98,581.02,568.52,577.88,2431.78684382,1399905.46856,575.66948029
2016-08-19,571.51,574.86,552.3,572.91,4652.00521466,2653115.88128,570.316618072
2016-08-18,570.91,575.87,568.79,571.49,3967.28412511,2271526.86467,572.56470498
2016-08-17,574.95,577.86,566.02,570.91,4108.5976507,2348397.52788,571.581285765
2016-08-16,564.2,579.8,563.0,574.99,4837.18871903,2766616.05963,571.947099922
2016-08-15,568.76,573.69,554.9,565.55,4633.74558455,2618493.4862,565.092199911
2016-08-14,583.54,583.92,556.24,568.76,4812.88862744,2748170.07448,571.002216592
2016-08-13,585.34,589.98,581.71,583.52,962.30229892,563625.080321,585.70480498
2016-08-12,585.25,591.19,580.47,585.91,2177.37864395,1276363.86275,586.192882116
2016-08-11,590.46,597.78,585.22,585.22,2543.68401092,1504308.95593,591.389869762
2016-08-10,582.71,603.0,580.01,590.27,5217.75905561,3093831.60367,592.942596753
2016-08-09,591.85,591.85,579.43,582.75,3174.70598792,1856560.61564,584.797654557
2016-08-08,592.47,594.0,583.58,591.88,3181.85250852,1876919.92232,589.882754557
2016-08-07,589.47,598.82,582.12,592.47,2910.30990604,1720291.72988,591.102592307
2016-08-06,572.98,592.0,562.56,589.48,6021.3087891,3470953.44949,576.445017365
2016-08-05,578.14,578.2,562.0,572.5,4811.23583899,2744096.46759,570.351684978
2016-08-04,563.99,583.97,552.0,576.13,8499.83692796,4849529.13774,570.543785586
2016-08-03,540.0,572.34,521.0,563.42,15453.5861596,8476073.71106,548.485873994
2016-08-02,606.84,613.03,465.28,540.0,22142.6673397,12122476.9294,547.471392829
2016-08-01,622.5,630.0,603.63,606.35,5512.82137405,3399251.95135,616.608397173
2016-07-31,654.02,654.71,614.97,623.83,4933.61939038,3125805.15142,633.572414913
2016-07-30,654.88,657.5,652.19,654.67,719.15982547,470912.144375,654.808747231
