Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-12-18,788.95,791.17,781.05,788.36,22.8,17962.6672,787.836280702
2016-12-17,781.34,790.13,780.57,787.62,18.13,14269.7053,787.076960838
2016-12-16,776.55,782.39,773.0,781.31,20.13,15667.4069,778.311321411
2016-12-15,777.08,778.7,772.86,775.75,17.44,13549.2414,776.906043578
2016-12-14,775.35,781.18,772.71,777.06,19.35,15036.7211,777.091529716
2016-12-13,776.42,787.59,770.0,777.23,23.16,18015.4129,777.867569085
2016-12-12,769.12,779.06,765.53,778.08,26.07,20149.1557,772.886678174
2016-12-11,770.96,774.93,760.45,768.34,27.99,21451.6844,766.405301894
2016-12-10,769.66,777.85,766.23,770.96,24.82,19135.0919,770.954548751
2016-12-09,763.17,773.44,762.95,769.66,23.45,18011.6479,768.08733049
2016-12-08,765.68,774.69,759.01,763.33,28.96,22166.8134,765.428639503
2016-12-07,755.76,771.01,747.8,759.37,17.9,13610.6625,760.372206704
2016-12-06,751.72,759.39,744.88,755.92,27.74,20878.1157,752.63574982
2016-12-05,757.16,762.14,740.28,745.79,25.56,19162.5856,749.709921753
2016-12-04,756.63,764.99,755.01,762.15,28.58,21669.1028,758.191140658
2016-12-03,765.95,768.97,747.72,763.1,33.33,25313.3441,759.476270627
2016-12-02,747.89,773.26,747.26,765.93,26.94,20589.117,764.258240535
2016-12-01,742.2,751.55,737.04,746.6,21.79,16216.2908,744.207930243
2016-11-30,727.41,743.48,726.01,742.21,27.39,20133.9082,735.082446148
2016-11-29,726.49,733.17,723.01,731.51,25.71,18707.2655,727.626040451
2016-11-28,727.49,732.62,723.01,725.94,21.31,15509.1538,727.787602065
2016-11-27,727.01,734.95,718.38,725.01,19.12,13863.1413,725.059691423
2016-11-26,733.61,737.25,719.07,727.01,23.96,17485.1963,729.766122705
2016-11-25,735.8,740.01,724.05,734.37,25.94,18980.7238,731.716414803
2016-11-24,737.09,741.32,725.86,731.75,25.67,18872.8053,735.208620958
2016-11-23,744.75,748.99,731.02,740.33,26.67,19746.7801,740.411702287
2016-11-22,733.57,749.0,729.79,744.77,20.15,14896.5312,739.281945409
2016-11-21,745.89,745.89,726.65,733.77,12.73,9364.218,735.602356638
2016-11-20,750.9,751.44,730.0,749.89,13.01,9674.5706,743.625718678
2016-11-19,749.14,751.44,739.9,750.88,31.19,23256.9574,745.654293043
2016-11-18,736.97,750.06,728.57,749.14,24.65,18252.1989,740.45431643
2016-11-17,739.99,757.76,731.4,737.25,22.18,16438.0877,741.122078449
2016-11-16,711.91,739.99,706.04,735.25,30.11,21686.0884,720.228774494
2016-11-15,699.48,714.99,699.48,711.78,22.33,15848.9515,709.760479176
2016-11-14,701.67,705.6,698.01,700.18,30.72,21491.4277,699.590745443
2016-11-13,701.28,704.41,687.14,698.01,19.9,13807.9884,693.868763819
2016-11-12,712.95,716.57,701.26,701.28,10.41,7373.1875,708.279298751
2016-11-11,714.65,720.99,712.38,712.38,21.62,15450.4687,714.637775208
2016-11-10,718.01,725.44,711.8,714.64,19.3,13801.088,715.082279793
2016-11-09,709.7,737.2,701.94,721.66,24.31,17555.6724,722.158469766
2016-11-08,699.55,713.54,697.72,709.55,30.88,21726.2207,703.569323187
2016-11-07,703.08,708.77,697.4,708.77,25.78,18090.5185,701.726861908
2016-11-06,700.76,714.7,694.44,710.17,24.6,17335.068,704.677560976
2016-11-05,703.1,708.39,692.49,707.73,22.02,15421.1941,700.326707539
2016-11-04,681.43,705.65,681.43,698.41,23.86,16604.1467,695.898855826
2016-11-03,735.66,748.23,680.96,685.26,26.5,19195.2158,724.347766038
2016-11-02,723.57,734.33,717.08,734.33,25.86,18682.6658,722.45420727
2016-11-01,691.5,734.66,691.5,726.55,27.28,19591.5768,718.166304985
2016-10-31,696.87,707.85,682.06,697.78,18.33,12774.2453,696.903726132
2016-10-30,712.46,712.46,695.0,697.87,20.8,14580.1185,700.967235577
2016-10-29,685.77,716.55,685.77,713.63,25.92,18190.0307,701.775875772
2016-10-28,685.44,685.97,675.1,685.97,23.31,15912.4718,682.645722866
2016-10-27,672.06,685.77,667.03,685.77,22.73,15370.4616,676.2191641
2016-10-26,652.12,675.99,651.19,672.06,27.23,18024.5866,661.938545722
2016-10-25,643.42,657.62,643.42,649.01,20.21,13118.651,649.116823355
2016-10-24,650.09,656.96,642.47,649.19,17.23,11159.0332,647.651375508
2016-10-23,648.26,653.96,648.22,648.24,23.29,15122.9168,649.330905968
2016-10-22,629.13,653.96,627.01,650.39,26.04,16569.7476,636.319032258
2016-10-21,628.99,632.27,624.75,629.12,22.09,13892.8606,628.920805794
2016-10-20,624.67,630.19,622.64,625.44,19.09,11956.2622,626.310225249
2016-10-19,632.4,634.99,621.95,628.1,24.41,15358.675,629.196026219
2016-10-18,634.01,637.8,631.96,634.99,19.29,12246.0536,634.839481597
2016-10-17,635.37,638.98,631.96,637.11,24.49,15545.3628,634.763691303
2016-10-16,635.37,638.99,635.37,635.37,23.9,15214.0256,636.570108787
2016-10-15,637.13,638.99,635.37,635.37,24.02,15291.2047,636.603026644
2016-10-14,631.56,639.26,629.2,635.37,19.25,12200.4136,633.787719481
2016-10-13,631.07,638.35,629.53,631.56,24.83,15721.5464,633.167394281
2016-10-12,633.2,639.14,630.77,631.07,21.85,13844.2209,633.602787185
