Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-12-18,759.8,760.98,752.79,758.969,1898.74760721,1438243.39611,757.469497606
2016-12-17,752.75,762.3,751.81,759.8,3234.11349448,2455525.41313,759.257650456
2016-12-16,747.24,756.718,746.06,752.76,3960.17527202,2974822.81935,751.184635783
2016-12-15,740.5,750.82,739.752,747.23,4015.5258486,2997250.84774,746.415528312
2016-12-14,736.44,740.87,730.604,740.5,3784.13042602,2789866.16915,737.254231506
2016-12-13,736.111,743.311,727.19,736.33,4254.49419653,3137077.65397,737.356195368
2016-12-12,731.269,743.45,730.57,736.99,4404.22838296,3247534.25123,737.367359013
2016-12-11,734.711,735.121,723.597,731.269,3021.70793096,2202278.29224,728.819046232
2016-12-10,733.959,738.2,732.611,734.885,2548.17428854,1875703.63521,736.097072969
2016-12-09,724.78,735.7,724.311,733.96,3439.97520486,2516846.21091,731.646614009
2016-12-08,719.583,729.98,712.95,724.78,5275.61779112,3820551.07637,724.19027072
2016-12-07,717.741,724.842,711.944,717.94,4193.7590858,3016867.25537,719.370663322
2016-12-06,704.687,720.0,704.24,717.717,5358.16599951,3827923.23839,714.409228594
2016-12-05,732.886,735.12,702.0,706.478,7308.35927722,5203060.79078,711.93281466
2016-12-04,723.288,735.12,719.28,732.881,2969.60599449,2156627.57458,726.233573944
2016-12-03,729.975,729.976,713.1,722.17,3129.46164274,2257689.26001,721.430558271
2016-12-02,707.889,736.0,706.617,728.937,7485.91070751,5417255.84988,723.660228066
2016-12-01,701.8,712.55,699.301,707.889,4847.77982448,3433302.6517,708.221655275
2016-11-30,690.999,703.83,689.862,701.8,4841.86480453,3386562.75208,699.433563059
2016-11-29,692.83,695.99,690.0,690.999,3652.98425303,2533512.65311,693.546009953
2016-11-28,691.479,698.5,689.0,694.311,3596.2108311,2495750.90622,693.994602495
2016-11-27,694.468,699.11,688.1,691.479,1828.70480652,1270623.54767,694.821571606
2016-11-26,702.378,702.679,685.22,694.464,2903.11352249,2015922.23437,694.400070392
2016-11-25,700.787,702.489,691.306,701.0,3827.74268665,2667473.02853,696.878877945
2016-11-24,702.937,705.0,692.1,700.787,4780.49046523,3344385.52077,699.590459409
2016-11-23,705.399,707.699,692.1,702.936,5635.524515,3946433.2246,700.277891454
2016-11-22,694.87,713.5,689.01,705.399,6134.27066516,4314289.26169,703.309243623
2016-11-21,688.681,701.444,686.54,694.587,4017.18964256,2789004.21805,694.267501963
2016-11-20,705.98,710.0,670.01,688.7,6159.35666415,4244622.03609,689.133990372
2016-11-19,705.511,714.99,691.0,705.98,2507.74168679,1769348.41266,705.554492305
2016-11-18,690.4,710.448,685.127,705.511,5277.00980283,3705356.27248,702.169677702
2016-11-17,692.785,699.99,677.86,690.4,5905.71318848,4094947.96941,693.38754503
2016-11-16,660.06,697.39,659.031,692.894,9236.74905795,6296321.69343,681.659927528
2016-11-15,655.99,667.99,653.987,660.44,5382.48998118,3560010.25972,661.405831162
2016-11-14,648.0,659.2,643.14,655.59,4654.02423669,3038279.69152,652.828506472
2016-11-13,647.63,648.925,628.033,648.029,4749.4907908,3031945.58701,638.372768905
2016-11-12,661.999,661.999,643.349,647.638,3785.83582533,2460995.67648,650.053459796
2016-11-11,656.921,664.262,653.592,661.999,3698.29983059,2440179.82308,659.81124702
2016-11-10,661.9,662.038,651.0,657.766,4147.95256607,2718255.29902,655.324586219
2016-11-09,643.999,669.0,638.5,661.97,10333.8154481,6801197.91817,658.149736882
2016-11-08,633.999,650.411,632.0,643.999,5191.32935252,3332087.13684,641.85623962
2016-11-07,638.6,640.58,629.345,632.312,3038.80713658,1929885.69081,635.080017939
2016-11-06,630.775,643.0,625.0,639.0,3564.17423846,2269576.51602,636.774849987
2016-11-05,632.807,634.7,621.364,629.47,2584.59374003,1626726.51218,629.39350467
2016-11-04,620.38,638.165,614.254,632.817,6714.81531385,4224345.09763,629.10815863
2016-11-03,669.364,672.4,604.26,621.155,15358.2239444,9791157.81381,637.518885599
2016-11-02,659.56,669.499,648.0,669.364,4786.49137891,3140501.73508,656.117704279
2016-11-01,635.56,666.339,634.394,659.579,7202.18562149,4728229.2729,656.499224178
2016-10-31,629.041,646.223,616.51,634.85,5843.16060976,3725772.72199,637.629695779
2016-10-30,643.0,643.321,626.0,629.041,4071.20404872,2579250.03286,633.534944945
2016-10-29,628.165,650.0,627.66,642.01,7205.40958373,4621510.11741,641.394505573
